Fish_Type,Pond_Size,Harvest_Month,Previous_Harvest_Quantity,Average_Harvest_Last_3_Records,Total_Historical_Harvest_Records,Harvest_Quantity
Carp,959,4,635,622,24,701
Carp,265,1,160,156,25,158
Carp,1362,8,814,740,14,783
Milkfish (Bangus),473,9,440,488,8,409
Milkfish (Bangus),837,11,769,745,23,764
Tilapia,1177,8,792,806,23,700
Carp,1380,9,851,763,27,747
Milkfish (Bangus),1180,6,1094,1059,3,1061
Carp,1360,8,729,750,14,709
Milkfish (Bangus),761,1,713,707,19,699
Milkfish (Bangus),721,5,532,486,14,592
Tilapia,674,1,396,355,29,432
Catfish (Hito),1352,5,872,801,10,939
Tilapia,835,6,455,453,10,495
Tilapia,1066,9,587,549,16,547
Milkfish (Bangus),1206,4,1094,1232,27,1387
Milkfish (Bangus),1442,8,1027,975,5,964
Milkfish (Bangus),371,10,324,328,26,306
Tilapia,566,6,400,409,7,403
Catfish (Hito),620,11,443,473,13,482
Tilapia,508,8,289,319,29,277
Milkfish (Bangus),580,3,438,428,26,494
Tilapia,556,11,393,432,22,400
Catfish (Hito),914,9,612,558,9,612
Tilapia,1360,1,839,837,24,898
Milkfish (Bangus),921,10,673,608,15,698
Tilapia,853,11,483,490,29,489
Tilapia,566,11,321,355,3,331
Carp,1010,1,566,570,16,572
Carp,1486,2,897,890,25,908
Carp,1401,9,685,657,12,697
Catfish (Hito),1029,1,807,747,24,877
Catfish (Hito),797,4,495,558,20,587
Carp,327,5,174,158,15,192
Milkfish (Bangus),741,2,581,615,28,654
Milkfish (Bangus),1075,8,869,971,19,840
Catfish (Hito),471,2,386,340,21,387
Milkfish (Bangus),1366,9,1258,1268,23,1227
Tilapia,628,5,384,408,29,437
Carp,952,2,553,611,23,617
Tilapia,1059,5,642,632,12,657
Carp,364,4,227,237,21,240
Carp,658,10,419,458,8,399
Carp,1085,3,582,527,6,598
Milkfish (Bangus),1094,11,811,820,28,884
Carp,1442,7,754,778,20,722
Catfish (Hito),1471,7,1094,958,14,960
Catfish (Hito),1344,12,937,1043,20,1091
Milkfish (Bangus),653,11,542,561,18,544
Carp,555,5,370,403,28,449
Tilapia,1181,12,790,786,24,815
Catfish (Hito),550,8,381,357,21,362
Milkfish (Bangus),762,4,691,756,9,744
Milkfish (Bangus),259,1,240,261,12,241
Catfish (Hito),1218,8,841,950,6,785
Carp,442,1,272,303,14,320
Catfish (Hito),337,12,274,257,6,287
Tilapia,1079,6,739,677,6,678
Catfish (Hito),940,3,719,747,17,863
Tilapia,1500,1,803,851,17,960
Milkfish (Bangus),648,4,528,466,15,584
Carp,692,4,446,484,25,510
Milkfish (Bangus),652,3,592,591,23,691
Milkfish (Bangus),430,7,318,290,27,307
Milkfish (Bangus),334,7,240,236,4,241
Tilapia,293,5,208,190,21,206
Tilapia,1326,4,825,894,26,909
Milkfish (Bangus),743,7,571,609,23,573
Catfish (Hito),1188,9,816,756,16,733
Catfish (Hito),1190,12,745,682,6,723
Tilapia,1279,1,905,819,14,913
Tilapia,811,12,570,641,14,647
Milkfish (Bangus),490,8,431,407,9,404
Tilapia,958,9,660,696,18,591
Catfish (Hito),311,12,232,217,19,234
Milkfish (Bangus),1198,2,988,958,26,1022
Tilapia,902,2,578,605,11,583
Milkfish (Bangus),251,1,239,248,8,234
Carp,1363,2,767,854,16,802
Milkfish (Bangus),519,6,395,414,19,391
Carp,374,5,218,199,8,216
Catfish (Hito),1326,3,902,797,11,931
Milkfish (Bangus),581,12,443,487,20,527
Catfish (Hito),374,10,247,254,6,233
Tilapia,1316,12,888,894,24,997
Milkfish (Bangus),305,3,245,273,14,289
Carp,1258,12,820,819,7,823
Milkfish (Bangus),1464,12,1133,1158,13,1125
Catfish (Hito),651,3,422,462,8,498
Catfish (Hito),698,9,501,519,14,523
Carp,1416,9,759,749,13,740
Milkfish (Bangus),827,4,694,661,21,751
Tilapia,723,7,413,437,5,397
Carp,518,10,330,309,18,329
Carp,1410,3,837,740,19,940
Carp,740,2,443,386,28,424
Carp,1101,11,543,577,18,617
Tilapia,871,3,467,502,16,535
Carp,1349,12,780,733,13,746
Milkfish (Bangus),1219,2,997,1117,16,1204
Carp,1320,11,771,847,8,782
Tilapia,376,5,242,246,25,291
Catfish (Hito),1009,11,700,685,14,664
Carp,1244,3,663,630,26,784
Tilapia,279,12,179,188,17,181
Catfish (Hito),1086,2,808,712,13,813
Carp,903,12,467,430,9,467
Tilapia,371,7,233,252,29,252
Tilapia,350,7,252,260,21,237
Tilapia,789,5,504,569,4,611
Catfish (Hito),300,3,211,233,22,230
Milkfish (Bangus),1420,10,1006,891,26,1036
Carp,444,9,297,302,17,277
Carp,806,12,536,510,4,500
Catfish (Hito),607,3,393,430,30,488
Catfish (Hito),1288,2,1010,1126,30,1071
Carp,1245,4,719,794,18,908
Milkfish (Bangus),1131,10,907,880,16,864
Tilapia,739,2,409,439,5,454
Tilapia,1414,11,745,679,20,722
Milkfish (Bangus),1470,10,1179,1313,9,1289
Tilapia,545,7,313,277,4,272
Tilapia,961,5,609,629,28,654
Catfish (Hito),1251,11,989,1104,20,1010
Tilapia,363,6,230,257,9,233
Milkfish (Bangus),1214,2,889,847,18,984
Tilapia,1091,2,624,660,15,660
Catfish (Hito),1421,10,885,885,8,885
Tilapia,885,12,640,637,15,647
Carp,777,12,467,434,4,473
Catfish (Hito),313,8,232,256,30,232
Catfish (Hito),325,10,254,272,26,255
Milkfish (Bangus),1048,3,889,854,26,999
Carp,1090,12,602,591,29,673
Milkfish (Bangus),882,1,717,664,23,773
Milkfish (Bangus),414,5,362,386,8,425
Catfish (Hito),591,7,495,451,6,416
Milkfish (Bangus),614,4,571,610,17,670
Carp,469,10,277,251,13,252
Tilapia,635,5,411,433,6,421
Milkfish (Bangus),851,3,754,816,24,852
Milkfish (Bangus),1276,4,986,903,9,1066
Milkfish (Bangus),740,9,660,628,9,586
Milkfish (Bangus),413,1,328,316,15,330
Catfish (Hito),1204,1,859,891,29,993
Catfish (Hito),1499,6,1177,1302,20,1258
Milkfish (Bangus),826,10,583,579,5,581
Milkfish (Bangus),759,6,639,694,18,615
Catfish (Hito),531,3,434,489,25,532
Tilapia,1363,2,812,763,11,865
Catfish (Hito),1424,6,1022,968,12,933
Tilapia,494,9,360,351,4,346
Tilapia,1102,9,619,669,8,597
Carp,1392,10,829,897,6,787
Carp,595,5,326,320,30,364
Catfish (Hito),566,10,452,438,24,460
Carp,516,9,312,352,3,286
Tilapia,510,11,358,319,17,336
Milkfish (Bangus),1184,2,870,801,13,908
Milkfish (Bangus),849,9,730,766,27,778
Tilapia,765,8,546,510,14,506
Tilapia,1193,12,732,675,5,693
Milkfish (Bangus),830,3,746,825,11,881
Catfish (Hito),582,8,398,360,10,389
Catfish (Hito),752,12,607,591,9,564
Tilapia,452,10,316,292,20,318
Catfish (Hito),1314,3,857,757,26,989
Catfish (Hito),632,2,501,453,20,536
Tilapia,1424,2,856,940,23,974
Carp,1181,1,726,686,25,702
Carp,548,4,324,331,17,363
Carp,1234,12,650,690,28,740
Milkfish (Bangus),904,10,809,906,8,840
Carp,1398,2,756,783,30,845
Tilapia,1484,3,881,967,5,967
Catfish (Hito),1235,8,1007,1108,13,928
Tilapia,1213,3,774,806,12,906
Carp,280,6,178,181,9,174
Milkfish (Bangus),319,6,300,263,12,271
Milkfish (Bangus),1432,11,1231,1153,4,1247
Tilapia,1183,9,671,676,27,700
Carp,557,10,282,316,9,307
Tilapia,1045,5,658,654,23,720
Tilapia,1051,4,732,791,8,805
Carp,973,2,642,710,6,739
Carp,665,10,357,319,7,317
Milkfish (Bangus),339,1,250,226,30,281
Catfish (Hito),975,2,732,805,24,841
Milkfish (Bangus),903,12,731,702,22,756
Tilapia,462,6,276,251,25,261
Carp,1303,9,782,854,12,716
Carp,1207,3,631,662,11,766
Tilapia,619,12,370,375,18,403
Milkfish (Bangus),1013,2,738,775,20,857
Catfish (Hito),1103,8,779,761,5,670
Carp,528,4,335,312,15,381
Milkfish (Bangus),932,1,759,759,24,827
Catfish (Hito),1410,12,1005,1031,16,1099
Tilapia,339,5,218,242,17,250
Catfish (Hito),835,12,599,549,29,590
Tilapia,369,8,234,250,3,231
Catfish (Hito),290,3,195,217,18,218
Milkfish (Bangus),1033,3,880,859,12,990
Tilapia,538,3,345,368,28,421
Milkfish (Bangus),1499,10,1118,1046,9,1034
Catfish (Hito),978,10,811,816,30,812
Catfish (Hito),1325,5,857,863,29,1030
Tilapia,629,12,460,517,15,523
Catfish (Hito),1248,12,841,852,10,894
Tilapia,882,7,540,575,20,519
Milkfish (Bangus),663,7,500,546,6,492
Tilapia,535,2,348,305,24,348
Tilapia,471,4,282,250,21,288
Carp,977,10,624,568,3,578
Tilapia,806,9,444,479,15,481
Tilapia,263,7,192,194,8,167
Carp,503,10,318,326,21,337
Carp,868,7,501,483,11,447
Catfish (Hito),307,2,244,214,12,242
Catfish (Hito),1055,3,822,889,20,962
Tilapia,378,11,252,235,16,229
Carp,529,7,305,279,15,296
Catfish (Hito),1408,6,1123,982,8,1091
Catfish (Hito),1440,7,1096,1230,3,1128
Tilapia,1464,3,781,852,18,939
Carp,1019,6,601,546,14,593
Catfish (Hito),343,9,283,281,23,269
Catfish (Hito),640,12,504,486,30,495
Milkfish (Bangus),524,9,498,528,15,457
Carp,1325,8,832,776,13,758
Milkfish (Bangus),1409,2,1194,1345,10,1249
Milkfish (Bangus),360,9,290,257,21,270
Carp,1192,2,648,706,10,725
Milkfish (Bangus),1304,1,1193,1239,15,1169
Milkfish (Bangus),1357,9,972,885,16,953
Tilapia,309,7,179,176,11,170
Catfish (Hito),902,4,563,579,10,643
Milkfish (Bangus),1064,10,741,693,6,718
Milkfish (Bangus),742,10,593,597,25,606
Tilapia,277,8,171,168,17,152
Tilapia,1229,11,651,668,29,732
Carp,606,10,371,413,25,413
Catfish (Hito),302,5,229,208,15,234
Tilapia,1485,3,893,972,3,977
Tilapia,850,2,532,481,30,522
Catfish (Hito),1432,12,1012,904,10,990
Tilapia,1413,9,987,925,17,905
Catfish (Hito),1325,2,878,959,15,974
Milkfish (Bangus),913,11,680,645,30,651
Milkfish (Bangus),740,7,647,593,8,599
Milkfish (Bangus),579,7,462,488,12,449
Catfish (Hito),701,2,525,486,26,589
Milkfish (Bangus),678,9,563,508,4,490
Catfish (Hito),1184,5,924,1029,6,1044
Tilapia,1138,5,811,778,22,813
Tilapia,899,10,511,526,17,479
Tilapia,1410,8,744,668,10,660
Milkfish (Bangus),592,10,462,425,3,429
Milkfish (Bangus),731,12,575,514,12,534
Tilapia,502,4,370,411,24,429
Carp,915,12,574,614,11,636
Milkfish (Bangus),1370,3,1187,1282,15,1293
Tilapia,1412,6,993,1062,5,909
Milkfish (Bangus),1070,2,943,1016,3,1027
Catfish (Hito),1321,5,875,855,5,879
Catfish (Hito),810,6,571,560,10,596
Tilapia,588,11,367,351,28,374
Tilapia,772,6,489,445,10,453
Catfish (Hito),957,7,760,712,14,742
Tilapia,1231,6,838,760,30,806
Catfish (Hito),462,3,351,330,25,408
Carp,394,5,250,222,18,263
Tilapia,1270,1,786,737,4,814
Milkfish (Bangus),398,5,376,345,29,386
Tilapia,985,5,606,552,23,608
Catfish (Hito),1500,10,1173,1167,15,1202
Carp,359,11,242,270,6,240
Milkfish (Bangus),694,9,562,517,15,559
Carp,566,6,291,256,22,293
Tilapia,674,8,377,421,21,399
Milkfish (Bangus),1346,6,1023,988,6,1005
Milkfish (Bangus),621,11,498,466,4,478
Tilapia,496,9,331,321,10,302
Catfish (Hito),917,12,641,655,24,740
Milkfish (Bangus),902,2,807,714,28,819
Carp,1123,7,636,569,30,600
Tilapia,408,9,264,279,24,278
Catfish (Hito),1036,12,803,875,20,913
Tilapia,295,2,175,191,18,204
Milkfish (Bangus),775,1,610,643,8,625
Catfish (Hito),367,6,295,272,27,275
Tilapia,1466,2,925,878,22,945
Catfish (Hito),299,1,193,168,23,209
Carp,1437,4,804,801,24,907
Tilapia,656,10,409,420,17,435
Catfish (Hito),1494,10,1014,930,5,933
Tilapia,609,4,420,419,7,490
Carp,290,12,169,150,4,160
Milkfish (Bangus),1483,4,1076,1096,8,1230
Carp,976,2,620,561,13,619
Tilapia,1112,3,665,676,27,706
Milkfish (Bangus),463,9,416,393,4,393
Tilapia,333,12,237,212,27,218
Carp,320,7,176,178,26,172
Milkfish (Bangus),1245,11,1006,1134,16,1011
Catfish (Hito),1289,12,910,1002,4,999
Carp,1107,10,620,599,10,601
Milkfish (Bangus),828,6,644,602,12,613
Tilapia,437,10,290,262,27,286
Carp,1310,2,666,581,9,640
Milkfish (Bangus),1203,3,841,895,30,935
Carp,990,5,548,478,24,591
Tilapia,1490,12,824,743,10,844
Catfish (Hito),996,3,774,853,25,934
Tilapia,559,7,336,321,18,341
Catfish (Hito),1103,11,772,780,30,804
Milkfish (Bangus),384,5,327,290,9,361
Carp,404,2,260,232,8,277
Carp,1157,2,701,725,4,773
Tilapia,1286,11,813,776,23,839
Tilapia,1447,1,928,913,19,1007
Milkfish (Bangus),1498,6,1087,1098,7,1088
Carp,965,1,542,554,4,578
Milkfish (Bangus),1072,8,911,980,23,904
Carp,922,1,471,443,19,503
Carp,1342,7,668,684,22,636
Tilapia,1168,11,745,762,26,749
Catfish (Hito),808,11,629,632,27,627
Milkfish (Bangus),313,10,241,233,7,252
Milkfish (Bangus),881,12,639,613,9,701
Carp,729,11,466,419,24,458
Carp,1449,3,707,785,14,890
Catfish (Hito),903,12,598,648,18,659
Tilapia,292,8,215,233,22,199
Carp,316,8,214,216,29,206
Carp,828,9,427,383,14,386
Milkfish (Bangus),1296,5,958,971,7,1012
Milkfish (Bangus),454,5,367,379,18,439
Milkfish (Bangus),438,12,413,449,28,454
Catfish (Hito),1025,8,781,683,20,746
Carp,982,3,547,477,24,586
Milkfish (Bangus),884,1,693,648,15,721
Carp,719,1,380,362,30,397
Catfish (Hito),929,3,702,784,16,779
Catfish (Hito),1116,12,744,737,3,713
Carp,1022,8,633,636,21,603
Milkfish (Bangus),745,6,543,565,4,597
Milkfish (Bangus),269,8,246,267,18,238
Tilapia,1025,4,709,640,22,810
Milkfish (Bangus),282,4,209,192,26,219
Catfish (Hito),807,11,529,523,12,534
Carp,1210,8,723,652,28,638
Catfish (Hito),1392,6,957,1067,5,1054
Milkfish (Bangus),764,11,625,666,21,607
Tilapia,430,6,255,266,20,257
Milkfish (Bangus),1359,12,1089,1166,25,1142
Tilapia,868,4,606,657,8,728
Milkfish (Bangus),1347,11,994,1106,29,1104
Tilapia,778,9,469,443,18,429
Carp,353,8,235,243,16,221
Tilapia,786,3,454,492,16,503
Catfish (Hito),1146,10,839,919,24,834
Carp,1352,5,835,871,23,976
Tilapia,1492,3,995,1059,14,1098
Carp,1409,3,812,729,14,818
Milkfish (Bangus),1301,9,1014,947,14,953
Catfish (Hito),1258,5,780,796,28,898
Milkfish (Bangus),1018,7,807,801,15,780
Tilapia,876,2,604,643,16,638
Catfish (Hito),1251,7,799,816,26,769
Carp,1174,5,706,661,9,740
Tilapia,1436,5,977,1101,13,1164
Tilapia,457,10,253,246,25,272
Carp,1111,9,616,666,17,638
Tilapia,835,7,484,443,27,471
Carp,1465,1,764,692,9,825
Carp,533,4,362,316,17,380
Catfish (Hito),890,12,618,604,25,619
Milkfish (Bangus),1176,11,849,826,24,938
Carp,253,9,154,148,11,139
Catfish (Hito),825,10,606,639,8,608
Carp,366,4,197,211,26,231
Milkfish (Bangus),1229,3,900,899,8,929
Carp,531,1,346,308,23,367
Milkfish (Bangus),1247,11,1067,1115,27,1111
Milkfish (Bangus),1066,10,765,728,28,719
Catfish (Hito),1431,7,1063,1157,15,1118
Milkfish (Bangus),452,4,425,375,25,470
Catfish (Hito),693,8,510,478,21,444
Milkfish (Bangus),396,10,348,335,5,314
Carp,1115,3,648,721,22,740
Catfish (Hito),1295,9,987,1112,5,1023
Tilapia,975,7,584,611,20,600
Milkfish (Bangus),1498,1,1037,1063,16,1068
Milkfish (Bangus),556,8,498,457,12,421
Tilapia,306,3,210,185,27,205
Milkfish (Bangus),948,7,800,787,10,797
Carp,610,9,311,348,22,351
Carp,1174,1,615,665,16,708
Tilapia,527,11,334,362,15,361
Milkfish (Bangus),1054,12,801,774,21,782
Tilapia,1234,5,749,699,15,763
Milkfish (Bangus),985,11,701,750,9,729
Catfish (Hito),725,4,581,554,15,656
Milkfish (Bangus),1425,6,1117,1189,21,1143
Carp,768,9,424,381,17,392
Carp,404,11,245,272,14,238
Carp,1027,11,507,474,15,486
Carp,521,2,299,301,10,296
Tilapia,452,3,295,282,5,317
Milkfish (Bangus),527,5,500,449,3,473
Tilapia,433,11,289,297,30,323
Catfish (Hito),360,5,245,253,30,279
Tilapia,730,6,414,468,29,442
Catfish (Hito),1061,4,662,735,30,827
Catfish (Hito),1131,11,819,856,7,827
Milkfish (Bangus),443,10,413,363,9,387
Carp,1500,7,758,792,3,685
Tilapia,987,4,634,612,22,729
Catfish (Hito),993,7,731,803,8,731
Carp,840,9,428,400,12,379
Tilapia,1484,11,991,905,9,910
Catfish (Hito),773,2,615,688,12,719
Carp,442,2,235,260,24,273
Tilapia,670,9,364,340,7,372
Tilapia,1247,8,678,694,30,649
Carp,929,5,503,513,11,531
Milkfish (Bangus),836,3,613,681,21,731
Milkfish (Bangus),1275,3,1093,1154,21,1304
Tilapia,1017,10,559,575,10,527
Catfish (Hito),551,6,413,377,4,394
Catfish (Hito),1239,12,833,843,26,907
Tilapia,841,10,484,545,21,480
Catfish (Hito),1287,8,845,899,19,778
Milkfish (Bangus),1218,8,870,775,19,842
Milkfish (Bangus),616,4,554,583,27,616
Carp,1136,10,572,546,29,554
Milkfish (Bangus),741,5,610,621,23,661
Milkfish (Bangus),426,5,398,408,10,420
Milkfish (Bangus),1238,5,926,861,4,1062
Tilapia,1133,9,599,550,20,594
Carp,725,3,458,452,28,526
Tilapia,1470,3,936,1037,15,1027
Tilapia,1359,6,872,936,5,885
Carp,869,6,452,419,20,433
Tilapia,997,10,576,633,15,585
Tilapia,807,11,461,489,14,483
Milkfish (Bangus),270,7,251,266,29,259
Tilapia,1384,8,877,902,12,794
Tilapia,527,3,354,380,6,410
Catfish (Hito),645,12,468,473,8,519
Milkfish (Bangus),1344,3,1193,1338,28,1375
Carp,309,4,179,168,5,184
Carp,1442,3,926,989,8,1038
Tilapia,1095,7,712,654,12,691
Milkfish (Bangus),627,9,556,579,10,529
Milkfish (Bangus),1041,2,894,841,7,883
Catfish (Hito),452,12,319,315,12,316
Catfish (Hito),491,4,323,339,18,409
Tilapia,783,3,436,384,28,497
Catfish (Hito),1202,7,744,798,26,747
Tilapia,629,8,461,409,7,419
Milkfish (Bangus),1050,1,911,996,23,945
Milkfish (Bangus),251,2,204,184,19,203
Milkfish (Bangus),665,1,480,532,4,518
Carp,1478,2,743,785,30,867
Tilapia,1113,3,628,558,5,678
Milkfish (Bangus),1484,8,1258,1417,21,1276
Milkfish (Bangus),300,2,244,213,27,255
Catfish (Hito),1422,10,1001,917,10,876
Carp,350,12,232,210,23,223
Milkfish (Bangus),493,8,421,442,3,405
Carp,735,4,378,344,18,453
Catfish (Hito),1202,4,966,1003,28,1175
Carp,771,2,391,352,3,382
Catfish (Hito),689,3,549,562,22,574
Carp,1185,4,579,546,12,638
Carp,593,7,377,396,25,345
Carp,1260,12,652,677,21,709
Tilapia,799,3,508,455,6,501
Tilapia,415,6,250,241,29,246
Catfish (Hito),1373,12,1094,1037,18,1029
Carp,945,4,597,656,12,681
Tilapia,1465,7,833,831,18,747
Milkfish (Bangus),1255,2,955,971,5,954
Tilapia,349,2,197,196,22,214
Tilapia,535,6,370,413,8,353
Carp,1450,4,853,899,19,1010
Catfish (Hito),1275,3,916,874,16,930
Catfish (Hito),1081,6,725,648,3,653
Carp,1049,1,590,527,20,596
Milkfish (Bangus),691,8,588,587,23,555
Tilapia,1458,5,890,885,24,910
Tilapia,1429,6,810,915,11,883
Milkfish (Bangus),309,12,225,230,4,224
Tilapia,1417,10,879,906,29,860
Milkfish (Bangus),330,3,246,219,23,262
Milkfish (Bangus),265,12,239,258,15,259
Tilapia,1309,12,890,892,14,870
Tilapia,1431,6,751,701,10,728
Tilapia,689,5,488,462,17,515
Tilapia,675,9,385,346,26,370
Milkfish (Bangus),1090,10,911,976,25,913
Carp,291,7,150,143,6,143
Milkfish (Bangus),695,7,574,601,18,574
Carp,647,3,390,400,12,418
Catfish (Hito),663,8,509,460,22,456
Tilapia,1366,7,928,846,4,822
Catfish (Hito),780,8,640,633,3,618
Tilapia,608,2,437,444,27,447
Catfish (Hito),1107,12,901,886,18,881
Carp,422,5,287,252,22,305
Carp,1409,11,703,738,5,751
Carp,336,7,202,224,26,216
Carp,1266,5,667,668,17,697
Carp,1074,12,620,548,6,589
Catfish (Hito),540,6,433,384,20,429
Milkfish (Bangus),1326,6,1117,1089,12,1022
Milkfish (Bangus),911,9,834,926,5,850
Catfish (Hito),953,3,790,738,18,775
